#GeneID	Symbol	Synonyms	chromosome	map_location
1	A1BG	A1B|ABG|GAB|HYST2477	19	19q13.43
2	A2M	A2MD|CPAMD5|FWP007|S863-7	12	12p13.31
3	A2MP1	A2MP	12	12p13.31
9	NAT1	AAC1|MNAT|NAT-1|NATI	8	8p22
10	NAT2	AAC2|NAT-2|PNAT	8	8p22
11	NATP	AACP|NATP1	8	8p22
12	SERPINA3	AACT|ACT|GIG24|GIG25	14	14q32.13
13	AADAC	CES5A1|DAC	3	3q25.1
14	AAMP	-	2	2q35
15	AANAT	DSPS|SNAT	17	17q25.1
16	AARS	CMT2N|EIEE29	16	16q22.1
17	AAVS1	AAV	19	19q13|19q13-qter
18	ABAT	GABA-AT|GABAT|NPD009	16	16p13.2
19	ABCA1	ABC-1|ABC1|CERP|HDLDT1|TGD	9	9q31.1
20	ABCA2	ABC2	9	9q34.3
21	ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	16	16p13.3
22	ABCB7	ABC7|ASAT|Atm1p|EST140535	X	Xq13.3
23	ABCF1	ABC27|ABC50	6	6p21.33
24	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	1	1p22.1
25	ABL1	ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9	9q34.12
26	AOC1	ABP|ABP1|DAO|DAO1|KAO	7	7q36.1
27	ABL2	ABLL|ARG	1	1q25.2
28	ABO	A3GALNT|A3GALT1|GTB|NAGAT	9	9q34.2
29	ABR	MDB	17	17p13.3
30	ACAA1	ACAA|PTHIO|THIO	3	3p22.2
31	ACACA	ACAC|ACACAD|ACC|ACC1|ACCA	17	17q12
32	ACACB	ACC2|ACCB|HACC275	12	12q24.11
33	ACADL	ACAD4|LCAD	2	2q34
34	ACADM	ACAD1|MCAD|MCADH	1	1p31.1
35	ACADS	ACAD3|SCAD	12	12q24.31
36	ACADSB	2-MEBCAD|ACAD7|SBCAD	10	10q26.13
37	ACADVL	ACAD6|LCACD|VLCAD	17	17p13.1
38	ACAT1	ACAT|MAT|T2|THIL	11	11q22.3
39	ACAT2	-	6	6q25.3
40	ASIC2	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	17	17q11.2-q12
41	ASIC1	ACCN2|ASIC|BNaC2	12	12q13.12
43	ACHE	ACEE|ARACHE|N-ACHE|YT	7	7q22.1
46	ACLS	-	12	12p13.3-p11.2
47	ACLY	ACL|ATPCL|CLATP	17	17q21.2
48	ACO1	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	9	9p21.1
49	ACR	-	22	22q13.33
50	ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	22	22q13.2
51	ACOX1	ACOX|PALMCOX|SCOX	17	17q25.1
52	ACP1	HAAP|LMW-PTP|LMWPTP	2	2p25.3
53	ACP2	LAP	11	11p11.2|11p12-p11
54	ACP5	HPAP|TRACP5a|TRACP5b|TRAP|TrATPase	19	19p13.2
55	ACPP	5'-NT|ACP-3|ACP3	3	3q22.1
56	ACRV1	D11S4365|SP-10|SPACA2	11	11q24.2
58	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM	1	1q42.13
59	ACTA2	ACTSA	10	10q23.31
60	ACTB	BRWS1|PS1TP5BP1	7	7p22.1
62	ACTBP2	-	5	5q14.1
63	ACTBP3	-	18	18q21.32
64	ACTBP4	-	5	5q31.1
66	ACTBP6	H8-PSI-BETA-AC3	8	8q21.2
67	ACTBP7	-	15	15q15.3
68	ACTBP8	ACTBP2	6	6q15
69	ACTBP9	-	18	18q21.33
70	ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	15	15q14
71	ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	17	17q25.3
72	ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	2	2p13.1
73	ACTG1P1	ACT1GP1|ACTGP1|HY-psi-gamma-AC6	3	3q23
74	ACTG1P2	ACTGP2|ACTL2	Y	Yq11.222
75	ACTG1P3	ACTGP3|dJ545L17.4	20	20p13
78	ACTG1P6	ACTGP6	1	1p21
79	ACTG1P7	ACTGP7	1	1p21
80	ACTG1P8	ACTGP8	1	1p21
81	ACTN4	ACTININ-4|FSGS|FSGS1	19	19q13.2
82	ACTG1P9	ACTGP9	6	6p12.3
83	ACTG1P10	ACTGP10|ACTL1|ACTP1	X	Xp11.22
86	ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	3	3q26.33
87	ACTN1	BDPLT15	14	14q24.1|14q22-q24
88	ACTN2	CMD1AA|CMH23	1	1q43
89	ACTN3	ACTN3D	11	11q13.2
90	ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	2	2q24.1
91	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	12	12q13.13
92	ACVR2A	ACTRII|ACVR2	2	2q22.3-q23.1
93	ACVR2B	ACTRIIB|ActR-IIB|HTX4	3	3p22.2
94	ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	12	12q13.13
